"Cód.";"Município";"Abacate";"Abacaxi";"Açaí";"Alfafa fenada";"Algodão arbóreo (em caroço)";"Algodão herbáceo (em caroço)";"Alho";"Amendoim (em casca)";"Arroz (em casca)";"Aveia (em grão)";"Azeitona";"Banana (cacho)";"Batata-doce";"Batata-inglesa";"Borracha (látex coagulado)";"Borracha (látex líquido)";"Cacau (em amêndoa)";"Café (em grão) Total";"Café (em grão) Arábica";"Café (em grão) Canephora";"Caju";"Cana-de-açúcar";"Cana para forragem";"Caqui";"Castanha de caju";"Cebola";"Centeio (em grão)";"Cevada (em grão)";"Chá-da-índia (folha verde)";"Coco-da-baía";"Dendê (cacho de coco)";"Erva-mate (folha verde)";"Ervilha (em grão)";"Fava (em grão)";"Feijão (em grão)";"Figo";"Fumo (em folha)";"Girassol (em grão)";"Goiaba";"Guaraná (semente)";"Juta (fibra)";"Laranja";"Limão";"Linho (semente)";"Maçã";"Malva (fibra)";"Mamão";"Mamona (baga)";"Mandioca";"Manga";"Maracujá";"Marmelo";"Melancia";"Melão";"Milho (em grão)";"Noz (fruto seco)";"Palmito";"Pera";"Pêssego";"Pimenta-do-reino";"Rami (fibra)";"Sisal ou agave (fibra)";"Soja (em grão)";"Sorgo (em grão)";"Tangerina";"Tomate";"Trigo (em grão)";"Triticale (em grão)";"Tungue (fruto seco)";"Urucum (semente)";"Uva"
"5201603";"Araçu (GO)";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"2900";"-";"-";"-";"...";"-";"-";"-";"-";"...";"16878";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"884";"-";"-";"-";"-";"-";"1064";"-";"-";"-";"-";"-";"-";"-";"1882";"520";"-";"-";"-";"-";"-";"-";"-"
"5201702";"Aragarças (GO)";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"62901";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"525";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"5201801";"Aragoiânia (GO)";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"40";"-";"-";"-";"...";"-";"-";"-";"-";"...";"1426";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"504";"-";"-";"-";"-";"-";"1005";"-";"-";"-";"-";"-";"-";"-";"84";"-";"-";"-";"-";"-";"-";"-";"132"
"5202155";"Araguapaz (GO)";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"48";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"320";"-";"-";"-";"-";"-";"1000";"-";"-";"-";"-";"-";"-";"-";"3105";"-";"-";"-";"-";"-";"-";"-";"-"
"5202353";"Arenópolis (GO)";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"476";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"525";"-";"-";"-";"-";"-";"-";"-";"85";"-";"-";"-";"-";"-";"24960";"-";"-";"-";"-";"-";"-";"-";"-"
"5202502";"Aruanã (GO)";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"180";"-";"-";"-";"-";"-";"1500";"-";"-";"-";"-";"-";"-";"-";"20800";"-";"-";"-";"-";"-";"-";"-";"-"
"5202601";"Aurilândia (GO)";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"1110";"-";"-";"-";"-";"-";"-";"-";"1275";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"5202809";"Avelinópolis (GO)";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"1010";"-";"-";"-";"...";"-";"210";"210";"-";"...";"110460";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"293";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"708";"-";"-";"-";"-";"-";"-";"-";"2400";"2500";"-";"-";"-";"-";"-";"-";"-"
"5203104";"Baliza (GO)";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"357";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"860";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"24360";"-";"-";"-";"-";"-";"-";"-";"-"
"5203203";"Barro Alto (GO)";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"360";"-";"-";"4550";"...";"-";"-";"-";"-";"...";"532800";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"228";"-";"-";"-";"-";"-";"3330";"-";"-";"-";"-";"-";"-";"-";"5320";"-";"-";"-";"-";"-";"-";"-";"-"
